T,U:0,p
"247,7","293,21",30350
"247,7","293,21",30350
"247,7","293,21",30350
"247,7","293,21",30350
"247,7","293,21",30350
"247,7","293,21",30350
"247,7","293,21",30350
"247,7","293,21",30350
"247,7","293,21",30350
"247,7","293,21",30350
"247,7","293,21",30350
"247,7","293,21",30350
"247,7","293,21",30350
"247,7","293,21",30350
"247,7","293,21",30350
"247,7","293,21",30350
"247,7","293,21",30350
"247,7","293,21",30350
"247,7","293,21",30350
"247,7","293,21",30350
"247,7","293,21",30350
"247,7","293,21",30350
"247,7","293,21",30350
"247,7","293,21",30350
"247,7","293,21",30350
"247,7","293,21",30350
"247,7","293,21",30350
"247,7","293,21",30350
"247,7","293,21",30350
"247,7","293,21",30350
"247,7","293,21",30350
"247,7","293,21",30350
"247,7","293,21",30350
"247,7","293,21",30350
"247,7","293,21",30350
"247,7","293,21",30350
"247,7","293,21",30350
"247,7","293,21",30350
"247,7","293,21",30350
"247,7","293,21",30350
"247,7","293,21",30350
"247,7","293,21",30350
"247,7","293,21",30350
"247,7","293,21",30350
"247,7","293,21",30350
"247,7","293,21",30350
"247,7","293,21",30350
"247,7","293,21",30350
"247,7","293,21",30350
"247,7","293,21",30350
"247,7","293,21",30350
"247,7","293,21",30350
"247,7","293,21",30350
"247,7","293,21",30350
"247,7","293,21",30350
"247,7","293,21",30350
"247,7","293,21",30350
"247,7","293,21",30350
"247,7","293,21",30350
"247,7","293,21",30350
"247,7","293,21",30350
"247,71","293,21",30350
"247,71","293,21",30350
"247,71","293,21",30350
"247,71","293,21",30350
"247,71","293,21",30350
"247,71","293,21",30350
"247,71","293,21",30350
"247,71","293,21",30350
"247,71","293,21",30350
"247,71","293,21",30350
"247,71","293,21",30350
"247,71","293,21",30350
"247,71","293,21",30350
"247,71","293,21",30350
"247,71","293,21",30350
"247,71","293,21",30350
"247,71","293,21",30350
"247,71","293,21",30350
"247,71","293,21",30350
"247,71","293,21",30350
"247,71","293,21",30350
"247,71","293,21",30350
"247,71","293,21",30350
"247,71","293,21",30350
"247,71","293,21",30350
"247,71","293,21",30350
"247,71","293,21",30350
"247,71","293,21",30350
"247,71","293,21",30350
"247,71","293,21",30350
"247,71","293,21",30350
"247,71","293,21",30350
"247,71","293,21",30350
"247,72","293,21",30350
"247,72","293,21",30350
"247,72","293,21",30350
"247,72","293,21",30350
"247,72","293,21",30350
"247,72","293,21",30350
"247,72","293,21",30350
"247,72","293,21",30350
"247,72","293,21",30350
"247,72","293,21",30350
"247,72","293,21",30350
"247,72","293,21",30350
"247,72","293,21",30350
"247,72","293,21",30350
"247,72","293,21",30350
"247,72","293,21",30350
"247,72","293,21",30350
"247,73","293,21",30350
"247,73","293,21",30350
"247,73","293,21",30350
"247,73","293,21",30350
"247,73","293,21",30350
"247,73","293,21",30350
"247,73","293,21",30350
"247,73","293,21",30350
"247,73","293,21",30350
"247,73","293,21",30350
"247,73","293,21",30350
"247,73","293,21",30350
"247,73","293,21",30350
"247,74","293,21",30350
"247,74","293,21",30350
"247,74","293,21",30350
"247,74","293,21",30350
"247,74","293,21",30350
"247,74","293,21",30350
"247,74","293,21",30350
"247,74","293,21",30350
"247,74","293,21",30350
"247,74","293,21",30350
"247,75","293,21",30350
"247,75","293,21",30350
"247,75","293,21",30350
"247,75","293,21",30350
"247,75","293,21",30350
"247,75","293,21",30350
"247,76","293,21",30350
"247,76","293,21",30350
"247,76","293,21",30350
"247,76","293,21",30350
"247,76","293,21",30350
"247,76","293,21",30350
"247,77","293,21",30350
"247,77","293,21",30350
"247,77","293,21",30350
"247,77","293,21",30350
"247,78","293,21",30350
"247,78","293,21",30350
"247,78","293,21",30350
"247,78","293,21",30350
"247,79","293,21",30350
"247,79","293,21",30350
"247,79","293,21",30350
"247,8","293,21",30350
"247,8","293,21",30350
"247,81","293,21",30350
"247,81","293,21",30350
"247,82","293,21",30350
"247,82","293,21",30350
"247,83","293,21",30350
"247,83","293,21",30350
"247,84","293,21",30350
"247,85","293,21",30350
"247,85","293,21",30350
"247,86","293,21",30350
"247,87","293,21",30350
"247,88","293,21",30350
"247,89","293,21",30350
"247,9","293,21",30350
"247,92","293,21",30350
"247,94","293,21",30350
"247,95","293,21",30350
"247,98","293,21",30350
248,"293,21",30350
"248,03","293,21",30350
"248,07","293,21",30350
"248,12","293,21",30350
"248,19","293,21",30350
"248,34","293,21",30350
"248,73","293,21",30350
"249,82","293,21",30350
"252,55","293,21",30350
"258,26","293,21",30350
"268,43","293,21",30350
284,"293,21",30350
"304,65","293,2",30350
"328,22","293,2",30350
"351,13","293,21",30350
"369,88","293,21",30350
"382,79","293,21",30350
"390,33","293,21",30350
"394,12","293,21",30350
"395,78","293,21",30350
"396,42","293,21",30350
"396,64","293,21",30350
"396,71","293,21",30350
"396,73","293,21",30350
"396,73","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,75","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,75","293,21",30350
"396,74","293,21",30350
"396,74","293,21",30350
"396,74","293,2",30350
"396,72","293,15",30342
"376,78","253,02",25878
"278,75","0,015953",10001
"278,75","1,48E-08",10000
"278,75","-1,42E-11",10000
"278,75","-1,44E-11",10000
"278,75","-1,46E-11",10000
"278,75","-1,45E-11",10000
"278,75","-1,42E-11",10000
"278,75","-1,46E-11",10000
"278,75","-1,45E-11",10000
"278,75","-1,31E-11",10000
"278,75","-1,39E-11",10000
"278,75","-1,50E-11",10000
"278,75","-1,65E-11",10000
"278,75","-1,57E-11",10000
"278,75","-1,58E-11",10000
"278,75","-1,49E-11",10000
"278,75","-1,45E-11",10000
"278,75","-1,40E-11",10000
"278,75","-1,26E-11",10000
"278,75","-1,19E-11",10000
"278,75","-1,36E-11",10000
"278,75","-1,30E-11",10000
"278,75","-1,26E-11",10000
"278,75","-1,11E-11",10000
"278,75","-1,20E-11",10000
"278,75","-1,10E-11",10000
"278,75","-1,12E-11",10000
"278,75","-1,22E-11",10000
"278,75","-1,21E-11",10000
"278,75","-1,08E-11",10000
"278,75","-1,07E-11",10000
"278,75","-1,10E-11",10000
"278,75","-1,13E-11",10000
"278,75","-1,10E-11",10000
"278,75","-1,06E-11",10000
"278,75","-1,10E-11",10000
"278,75","-9,97E-12",10000
"278,75","-1,01E-11",10000
"278,75","-9,72E-12",10000
