# Region      : all 
# Cells       : 7700
# Volume      : 4.962599e-03
# Time        	volIntegrate(alpha.water)
0.599003      	6.057027e-04
0.599335      	6.057022e-04
0.599668      	6.057018e-04
0.6           	6.057013e-04
0.600376      	6.057008e-04
0.600793      	6.057003e-04
0.601225      	6.056998e-04
0.601645      	6.056993e-04
0.602058      	6.056988e-04
0.602468      	6.056984e-04
0.602874      	6.056979e-04
0.603277      	6.056975e-04
0.60368       	6.056971e-04
0.604083      	6.056967e-04
0.604493      	6.056963e-04
0.604906      	6.056959e-04
0.605328      	6.056955e-04
0.605753      	6.056951e-04
0.606187      	6.056947e-04
0.606612      	6.056943e-04
0.607038      	6.056939e-04
0.607467      	6.056936e-04
0.607897      	6.056932e-04
0.608327      	6.056928e-04
0.608761      	6.056924e-04
0.609195      	6.056920e-04
0.609629      	6.056916e-04
0.610068      	6.056912e-04
0.610507      	6.056908e-04
0.610945      	6.056904e-04
0.611389      	6.056900e-04
0.611833      	6.056896e-04
0.612277      	6.056891e-04
0.612726      	6.056887e-04
0.613192      	6.056882e-04
0.61367       	6.056877e-04
0.614154      	6.056872e-04
0.614652      	6.056867e-04
0.615157      	6.056862e-04
0.615662      	6.056856e-04
0.616167      	6.056850e-04
0.61668       	6.056844e-04
0.617185      	6.056838e-04
0.617689      	6.056831e-04
0.618202      	6.056824e-04
0.618723      	6.056817e-04
0.619245      	6.056810e-04
0.619766      	6.056802e-04
0.620278      	6.056794e-04
0.620791      	6.056786e-04
0.621295      	6.056777e-04
0.621789      	6.056768e-04
0.622284      	6.056758e-04
0.622779      	6.056748e-04
0.623274      	6.056737e-04
0.623769      	6.056726e-04
0.624274      	6.056715e-04
0.624768      	6.056703e-04
0.625263      	6.056691e-04
0.625758      	6.056679e-04
0.626263      	6.056667e-04
0.626779      	6.056654e-04
0.627307      	6.056641e-04
0.627834      	6.056628e-04
0.628375      	6.056614e-04
0.628929      	6.056600e-04
0.629484      	6.056586e-04
0.630054      	6.056573e-04
0.630624      	6.056559e-04
0.631211      	6.056545e-04
0.631817      	6.056531e-04
0.632423      	6.056518e-04
0.633051      	6.056503e-04
0.633679      	6.056489e-04
